Itemset,Frequency,Type
"Handbook of Java 7, History of History 10",1,2-Itemset
"Fundamentals of Economics 7, Handbook of Music 7",1,2-Itemset
"Mastering Machine Learning 8, Mastering Philosophy 1",1,2-Itemset
"Handbook of Biology 10, The Art of Philosophy 8",1,2-Itemset
"Guide to History 1, Mastering Music 6",1,2-Itemset
"Guide to Chemistry 6, Mastering Music 6",1,2-Itemset
"History of Music 2, Introduction to Economics 10",1,2-Itemset
"Guide to Chemistry 6, The Art of History 6",1,2-Itemset
"Advanced Economics 1, Introduction to Python 7",1,2-Itemset
"Advanced Economics 3, History of Music 7",1,2-Itemset
"History of Python 7, The Art of History 3",1,2-Itemset
"Guide to Economics 5, Handbook of Python 4",1,2-Itemset
"Advanced Economics 10, Guide to Calculus 9",1,2-Itemset
"Fundamentals of Physics 10, Introduction to Python 7",1,2-Itemset
"Guide to Biology 8, History of Machine Learning 8",1,2-Itemset
"Fundamentals of Calculus 7, Mastering AI 10",1,2-Itemset
"Introduction to Philosophy 9, Introduction to Physics 8",1,2-Itemset
"Fundamentals of Python 3, Introduction to Java 8",1,2-Itemset
"Advanced Python 10, The Art of History 7",1,2-Itemset
"Handbook of Machine Learning 2, The Art of Philosophy 1",1,2-Itemset
"Fundamentals of Physics 10, The Art of Calculus 1",1,2-Itemset
"History of AI 5, Mastering Java 3",1,2-Itemset
"History of Music 9, Introduction to Philosophy 5",1,2-Itemset
"Handbook of Calculus 1, Introduction to Python 7",1,2-Itemset
"Advanced History 6, Introduction to History 10",1,2-Itemset
"Fundamentals of AI 5, Handbook of Python 9",1,2-Itemset
"Mastering Java 3, Mastering Philosophy 7",1,2-Itemset
"Guide to Python 4, Introduction to Python 1",1,2-Itemset
"Guide to Music 5, Handbook of Calculus 4",1,2-Itemset
"History of Python 9, The Art of Economics 7",1,2-Itemset
"Introduction to Physics 10, Mastering Physics 1",1,2-Itemset
"Guide to Philosophy 2, Handbook of Machine Learning 9",1,2-Itemset
"Introduction to Physics 1, The Art of Machine Learning 9",1,2-Itemset
"Handbook of Python 6, The Art of Physics 2",1,2-Itemset
"History of Art 3, Introduction to Machine Learning 2",1,2-Itemset
"Fundamentals of Java 10, Fundamentals of Python 10",1,2-Itemset
"Introduction to Biology 6, The Art of Python 8",1,2-Itemset
"The Art of Biology 7, The Art of Chemistry 2",1,2-Itemset
"Mastering AI 9, The Art of Chemistry 2",1,2-Itemset
"Fundamentals of Art 10, The Art of Art 5",1,2-Itemset
"Guide to Machine Learning 6, Handbook of Calculus 4",1,2-Itemset
"Advanced AI 6, The Art of Chemistry 1",1,2-Itemset
"Guide to Economics 5, The Art of Art 2",1,2-Itemset
"History of Economics 6, Mastering Physics 5",1,2-Itemset
"History of Art 3, Mastering Physics 5",1,2-Itemset
"Guide to Music 5, History of Biology 6",1,2-Itemset
"History of Philosophy 9, Mastering Art 8",1,2-Itemset
"Introduction to Biology 6, Mastering Economics 5",1,2-Itemset
"Fundamentals of Chemistry 10, Introduction to Biology 6",1,2-Itemset
"History of Machine Learning 10, Mastering Java 6",1,2-Itemset
"Handbook of Physics 4, Mastering Calculus 3",1,2-Itemset
"Fundamentals of Physics 2, Mastering Chemistry 10",1,2-Itemset
"Guide to Art 6, Introduction to Music 1",1,2-Itemset
"History of Music 4, History of Philosophy 1",1,2-Itemset
"Introduction to Philosophy 7, Mastering History 7",1,2-Itemset
"Introduction to Philosophy 7, The Art of Philosophy 4",1,2-Itemset
"Introduction to Philosophy 7, The Art of Music 1",1,2-Itemset
"Advanced Philosophy 9, Fundamentals of Music 4",1,2-Itemset
"History of Calculus 1, Introduction to Art 5",1,2-Itemset
"History of Python 8, Introduction to History 8",1,2-Itemset
"Advanced Chemistry 8, Introduction to Machine Learning 10",1,2-Itemset
"Advanced Art 2, Advanced Philosophy 1",1,2-Itemset
"Advanced Chemistry 8, History of Python 8",1,2-Itemset
"Fundamentals of Calculus 2, Guide to Java 10",1,2-Itemset
"Fundamentals of Calculus 2, Fundamentals of Economics 9",1,2-Itemset
"Advanced Art 9, History of Calculus 5",1,2-Itemset
"Advanced Art 2, Advanced Art 9",1,2-Itemset
"History of Philosophy 10, Mastering Economics 5",1,2-Itemset
"Advanced Physics 4, The Art of Chemistry 2",1,2-Itemset
"The Art of Biology 7, The Art of Philosophy 5",1,2-Itemset
"Introduction to Art 2, Introduction to Philosophy 7",1,2-Itemset
"Advanced Chemistry 9, Introduction to Java 1",1,2-Itemset
"History of Chemistry 4, Introduction to Python 1",1,2-Itemset
"Handbook of Java 4, History of Biology 6",1,2-Itemset
"Fundamentals of Calculus 2, Handbook of Java 4",1,2-Itemset
"Advanced Biology 1, History of Java 1",1,2-Itemset
"Advanced Physics 4, Introduction to Music 9",1,2-Itemset
"Advanced Music 5, Guide to Philosophy 6",1,2-Itemset
"History of Biology 5, The Art of Physics 8",1,2-Itemset
"History of Biology 5, Introduction to Economics 3",1,2-Itemset
"Guide to History 8, Mastering History 7",1,2-Itemset
"History of Machine Learning 5, Introduction to AI 6",1,2-Itemset
"History of Biology 8, Mastering Philosophy 5",1,2-Itemset
"Handbook of Python 2, Mastering Philosophy 5",1,2-Itemset
"History of Python 10, Introduction to Physics 1",1,2-Itemset
"History of Art 3, The Art of Chemistry 2",1,2-Itemset
"Handbook of Java 4, History of Chemistry 2",1,2-Itemset
"History of Java 9, History of Music 5",1,2-Itemset
"Fundamentals of Physics 3, History of Java 9",1,2-Itemset
"History of Art 7, Introduction to Physics 1",1,2-Itemset
"History of Art 6, History of Philosophy 1",1,2-Itemset
"Advanced Java 3, Handbook of Physics 8",1,2-Itemset
"Guide to Python 1, The Art of Physics 3",1,2-Itemset
"Guide to Calculus 2, The Art of Art 10",1,2-Itemset
"Advanced Calculus 5, Handbook of Art 10",1,2-Itemset
"Advanced Economics 7, Introduction to Calculus 10",1,2-Itemset
"Fundamentals of Java 3, Handbook of Economics 1",1,2-Itemset
"Advanced Java 1, Introduction to Economics 9",1,2-Itemset
"Advanced Economics 7, The Art of Philosophy 3",1,2-Itemset
"Advanced Economics 7, Fundamentals of Biology 8",1,2-Itemset
"Fundamentals of Python 9, Introduction to Chemistry 5",1,2-Itemset
"Handbook of Python 2, The Art of Biology 8",1,2-Itemset
"Introduction to Machine Learning 10, Mastering Java 6",1,2-Itemset
"Handbook of Calculus 2, Introduction to Art 2",1,2-Itemset
"Handbook of Calculus 2, Handbook of Philosophy 7",1,2-Itemset
"Advanced Python 9, The Art of Biology 10",1,2-Itemset
"Guide to Philosophy 6, Mastering Art 2",1,2-Itemset
"Handbook of History 2, History of Chemistry 10",1,2-Itemset
"Fundamentals of Biology 10, History of Art 2",1,2-Itemset
"Advanced Economics 1, The Art of Python 5",1,2-Itemset
"Introduction to Machine Learning 3, Mastering Philosophy 4",1,2-Itemset
"Mastering Chemistry 2, The Art of Chemistry 3",1,2-Itemset
"Advanced Economics 9, Mastering Calculus 8",1,2-Itemset
"Advanced Chemistry 7, The Art of Art 10",1,2-Itemset
"Advanced Chemistry 4, Guide to Biology 1",1,2-Itemset
"Guide to Python 1, History of Biology 1",1,2-Itemset
"Fundamentals of Python 8, The Art of Python 5",1,2-Itemset
"History of Machine Learning 1, Mastering Calculus 4",1,2-Itemset
"Fundamentals of Java 9, Mastering Calculus 7",1,2-Itemset
"Advanced Physics 8, Handbook of Economics 2",1,2-Itemset
"Guide to Art 5, The Art of AI 9",1,2-Itemset
"Fundamentals of Java 8, History of Philosophy 8",1,2-Itemset
"Guide to Python 1, Mastering Music 7",1,2-Itemset
"Guide to Philosophy 9, Introduction to AI 3",1,2-Itemset
"Introduction to Philosophy 1, The Art of Philosophy 5",1,2-Itemset
"Introduction to History 7, Mastering Economics 2",1,2-Itemset
"Advanced Philosophy 9, Handbook of AI 9",1,2-Itemset
"Advanced Art 9, The Art of Python 9",1,2-Itemset
"History of Chemistry 7, The Art of Python 8",1,2-Itemset
"Mastering History 6, The Art of Biology 2",1,2-Itemset
"Guide to Biology 9, Guide to Python 1",1,2-Itemset
"History of AI 5, The Art of Python 7",1,2-Itemset
"Advanced History 6, The Art of Art 10",1,2-Itemset
"Fundamentals of Java 7, The Art of Biology 2",1,2-Itemset
"Handbook of Art 10, Mastering Calculus 1",1,2-Itemset
"Mastering Calculus 4, The Art of Philosophy 9",1,2-Itemset
"Fundamentals of Python 7, Mastering Chemistry 4",1,2-Itemset
"Fundamentals of Python 1, Guide to History 1",1,2-Itemset
"History of Economics 3, The Art of Art 10",1,2-Itemset
"Fundamentals of Art 5, Handbook of Chemistry 7",1,2-Itemset
"Fundamentals of Philosophy 8, History of Calculus 1",1,2-Itemset
"Advanced Art 4, Advanced Art 9",1,2-Itemset
"Fundamentals of Philosophy 6, Handbook of Python 7",1,2-Itemset
"Advanced Art 6, Advanced Python 7",1,2-Itemset
"Guide to Machine Learning 1, Mastering Chemistry 9",1,2-Itemset
"Advanced Art 6, Mastering Chemistry 9",1,2-Itemset
"Introduction to Philosophy 1, The Art of Physics 1",1,2-Itemset
"Guide to Music 5, Mastering Art 10",1,2-Itemset
"Handbook of Physics 10, Introduction to Philosophy 1",1,2-Itemset
"Advanced Java 2, Advanced Python 8",1,2-Itemset
"Handbook of Calculus 8, Introduction to Physics 10",1,2-Itemset
"Handbook of Economics 3, The Art of Music 3",1,2-Itemset
"Fundamentals of Philosophy 2, The Art of Biology 1",1,2-Itemset
"Fundamentals of Physics 3, Guide to Chemistry 2",1,2-Itemset
"Handbook of Calculus 8, The Art of Python 8",1,2-Itemset
"Fundamentals of Philosophy 8, Mastering Machine Learning 3",1,2-Itemset
"Fundamentals of Philosophy 8, Mastering Chemistry 10",1,2-Itemset
"Guide to Machine Learning 1, Handbook of Art 5",1,2-Itemset
"Fundamentals of Chemistry 2, Handbook of Chemistry 7",1,2-Itemset
"Introduction to Java 1, Mastering Philosophy 2",1,2-Itemset
"Advanced Python 8, Mastering Chemistry 7",1,2-Itemset
"Fundamentals of Physics 3, Guide to Machine Learning 5",1,2-Itemset
"Advanced Calculus 9, Handbook of Calculus 2",1,2-Itemset
"Handbook of Calculus 8, Introduction to Music 10",1,2-Itemset
"Fundamentals of Machine Learning 9, Guide to Python 10",1,2-Itemset
"Fundamentals of Physics 6, The Art of Music 3",1,2-Itemset
"Handbook of Physics 4, The Art of Python 3",1,2-Itemset
"Advanced Python 4, History of Calculus 7",1,2-Itemset
"Mastering Economics 9, The Art of Calculus 5",1,2-Itemset
"Advanced Calculus 9, Mastering Economics 9",1,2-Itemset
"Handbook of Calculus 8, History of Chemistry 9",1,2-Itemset
"Guide to Music 5, History of Chemistry 5",1,2-Itemset
"Guide to Music 5, Handbook of Music 2",1,2-Itemset
"Handbook of Art 5, Handbook of Python 7",1,2-Itemset
"The Art of Economics 7, The Art of Python 3",1,2-Itemset
"Fundamentals of Physics 6, The Art of Physics 2",1,2-Itemset
"Fundamentals of Physics 6, Mastering Physics 5",1,2-Itemset
"Introduction to Chemistry 1, Introduction to History 9",1,2-Itemset
"Fundamentals of Economics 9, Introduction to Philosophy 1",1,2-Itemset
"Guide to History 8, Guide to Python 7",1,2-Itemset
"Guide to Economics 1, Mastering Philosophy 5",1,2-Itemset
"Guide to Art 10, History of Calculus 1",1,2-Itemset
"Guide to Python 6, Handbook of Economics 3",1,2-Itemset
"Guide to Python 10, Handbook of Java 4",1,2-Itemset
"Fundamentals of Philosophy 6, The Art of Philosophy 6",1,2-Itemset
"Fundamentals of AI 2, History of Machine Learning 5",1,2-Itemset
"Advanced Music 1, History of Chemistry 9",1,2-Itemset
"Guide to Music 1, Mastering Python 6",1,2-Itemset
"History of AI 5, The Art of History 10",1,2-Itemset
"Mastering Python 6, The Art of Physics 10",1,2-Itemset
"Fundamentals of Physics 9, Guide to Calculus 1",1,2-Itemset
"Handbook of Biology 9, The Art of History 9",1,2-Itemset
"History of Philosophy 3, Mastering Python 6",1,2-Itemset
"Fundamentals of Physics 9, Mastering Calculus 7",1,2-Itemset
"Guide to Calculus 2, Handbook of Machine Learning 5",1,2-Itemset
"Guide to Music 1, Mastering Economics 10",1,2-Itemset
"Advanced Music 1, Mastering Machine Learning 2",1,2-Itemset
"Advanced Music 1, Advanced Python 4",1,2-Itemset
"Fundamentals of Music 1, The Art of Biology 8",1,2-Itemset
"Guide to Calculus 10, Introduction to History 9",1,2-Itemset
"Guide to Machine Learning 5, The Art of Java 7",1,2-Itemset
"Advanced Art 6, Guide to Art 10",1,2-Itemset
"Guide to Python 7, Introduction to Music 9",1,2-Itemset
"The Art of Art 2, The Art of Economics 2",1,2-Itemset
"History of Java 1, History of Machine Learning 6",1,2-Itemset
"Handbook of Python 4, The Art of Art 2",1,2-Itemset
"History of Physics 6, Introduction to Java 9",1,2-Itemset
"Handbook of History 3, Mastering Python 6",1,2-Itemset
"Guide to Biology 8, The Art of Economics 9",1,2-Itemset
"Handbook of Music 3, History of Calculus 8",1,2-Itemset
"Guide to Art 1, Introduction to Philosophy 3",1,2-Itemset
"Handbook of Machine Learning 5, Introduction to Calculus 3",1,2-Itemset
"History of History 4, The Art of Physics 7",1,2-Itemset
"History of Physics 6, Mastering AI 10",1,2-Itemset
"History of Machine Learning 2, The Art of Economics 9",1,2-Itemset
"Handbook of Java 7, History of Calculus 8",1,2-Itemset
"Introduction to Music 2, The Art of Physics 7",1,2-Itemset
"Fundamentals of AI 7, The Art of History 9",1,2-Itemset
"Handbook of History 8, Mastering Economics 10",1,2-Itemset
"Advanced Biology 4, Guide to AI 8",1,2-Itemset
"Advanced History 7, Handbook of Python 2",1,2-Itemset
"Handbook of Python 6, Mastering Art 2",1,2-Itemset
"Advanced AI 2, Advanced Machine Learning 8",1,2-Itemset
"History of Art 3, History of Economics 6",1,2-Itemset
"Advanced Python 5, History of Economics 6",1,2-Itemset
"Guide to Python 4, Introduction to AI 8",1,2-Itemset
"The Art of Music 1, The Art of Philosophy 4",1,2-Itemset
"Advanced Chemistry 9, Introduction to Biology 6",1,2-Itemset
"History of Java 9, The Art of Machine Learning 9",1,2-Itemset
"Handbook of Java 2, History of Philosophy 9",1,2-Itemset
"Fundamentals of Java 10, Handbook of Java 8",1,2-Itemset
"History of Python 10, The Art of History 8",1,2-Itemset
"Advanced History 7, Guide to Calculus 6",1,2-Itemset
"History of Calculus 3, Introduction to Python 6",1,2-Itemset
"Mastering AI 9, The Art of Biology 7",1,2-Itemset
"Guide to Calculus 6, History of Biology 6",1,2-Itemset
"Introduction to Economics 3, The Art of Physics 8",1,2-Itemset
"History of Economics 1, Introduction to Music 8",1,2-Itemset
"Guide to Art 6, Mastering AI 7",1,2-Itemset
"Fundamentals of Music 4, The Art of History 8",1,2-Itemset
"Handbook of Python 4, History of Machine Learning 6",1,2-Itemset
"Handbook of Python 2, History of Biology 8",1,2-Itemset
"Handbook of Java 2, Mastering Python 4",1,2-Itemset
"History of Economics 6, History of Python 10",1,2-Itemset
"History of Philosophy 1, The Art of Machine Learning 2",1,2-Itemset
"Advanced Art 2, History of Calculus 5",1,2-Itemset
"Guide to Machine Learning 2, Guide to Music 8",1,2-Itemset
"History of Python 9, The Art of Chemistry 1",1,2-Itemset
"Advanced Chemistry 8, The Art of Machine Learning 2",1,2-Itemset
"Advanced Chemistry 9, History of Philosophy 10",1,2-Itemset
"Fundamentals of Calculus 2, History of Biology 6",1,2-Itemset
"The Art of Art 8, The Art of Physics 10",1,2-Itemset
"Advanced Economics 3, Mastering Physics 3",1,2-Itemset
"Guide to AI 5, Guide to Physics 4",1,2-Itemset
"Advanced Chemistry 5, Fundamentals of Art 4",1,2-Itemset
"Advanced Philosophy 7, Introduction to Music 3",1,2-Itemset
"Advanced Chemistry 5, Fundamentals of AI 4",1,2-Itemset
"Advanced Chemistry 5, The Art of AI 7",1,2-Itemset
"Advanced Chemistry 5, Fundamentals of Machine Learning 6",1,2-Itemset
"Advanced Physics 2, History of Physics 7",1,2-Itemset
"Advanced Chemistry 5, Fundamentals of History 5",1,2-Itemset
"Mastering Python 4, The Art of Java 6",1,2-Itemset
"Mastering Physics 1, The Art of Biology 7",1,2-Itemset
"Handbook of Philosophy 7, Introduction to Art 2",1,2-Itemset
"Advanced Python 2, Guide to AI 1",1,2-Itemset
"Advanced Python 2, Handbook of Calculus 4",1,2-Itemset
"Fundamentals of Physics 2, History of Java 9",1,2-Itemset
"Handbook of Java 1, The Art of Philosophy 1",1,2-Itemset
"Fundamentals of AI 5, Handbook of Java 1",1,2-Itemset
"Guide to Biology 10, Guide to History 9",1,2-Itemset
"Fundamentals of AI 5, Guide to History 9",1,2-Itemset
"Guide to AI 5, Introduction to Philosophy 9",1,2-Itemset
"Guide to Biology 9, History of Physics 1",1,2-Itemset
"Fundamentals of Biology 10, Handbook of Economics 9",1,2-Itemset
"Advanced Machine Learning 1, Fundamentals of Biology 2",1,2-Itemset
"Fundamentals of Chemistry 6, Introduction to Economics 10",1,2-Itemset
"Guide to AI 5, Introduction to Economics 7",1,2-Itemset
"Advanced AI 1, Fundamentals of Art 7",1,2-Itemset
"Fundamentals of Biology 2, Mastering Philosophy 9",1,2-Itemset
"Advanced Machine Learning 1, Introduction to Calculus 3",1,2-Itemset
"Advanced Machine Learning 1, Handbook of AI 6",1,2-Itemset
"Mastering Philosophy 9, The Art of Machine Learning 3",1,2-Itemset
"Handbook of Economics 9, Introduction to Java 9",1,2-Itemset
"Mastering History 8, Mastering Machine Learning 3",1,2-Itemset
"Fundamentals of AI 5, Introduction to Biology 4",1,2-Itemset
"Advanced Art 1, Handbook of Physics 4",1,2-Itemset
"Fundamentals of Art 5, The Art of Philosophy 1",1,2-Itemset
"The Art of Calculus 1, The Art of Philosophy 6",1,2-Itemset
"Guide to Philosophy 9, The Art of Calculus 1",1,2-Itemset
"Handbook of Chemistry 6, Introduction to Java 10",1,2-Itemset
"Fundamentals of Chemistry 8, Introduction to Biology 4",1,2-Itemset
"Fundamentals of Music 3, Mastering Music 6",1,2-Itemset
"Advanced Art 6, Guide to Calculus 9",1,2-Itemset
"Fundamentals of Python 10, Introduction to Python 7",1,2-Itemset
"Advanced Python 10, Introduction to Biology 4",1,2-Itemset
"Guide to AI 6, Mastering Machine Learning 3",1,2-Itemset
"Guide to History 9, Introduction to Chemistry 9",1,2-Itemset
"Handbook of Calculus 3, Introduction to Chemistry 9",1,2-Itemset
"Guide to AI 6, The Art of Python 8",1,2-Itemset
"Fundamentals of Calculus 7, History of Machine Learning 5",1,2-Itemset
"Mastering Biology 6, Mastering Chemistry 7",1,2-Itemset
"Guide to Biology 10, Introduction to Java 1",1,2-Itemset
"Handbook of Chemistry 6, History of Calculus 2",1,2-Itemset
"Guide to Philosophy 6, The Art of History 3",1,2-Itemset
"Advanced History 3, Fundamentals of Economics 9",1,2-Itemset
"Advanced Calculus 1, Handbook of Machine Learning 3",1,2-Itemset
"Guide to AI 9, Guide to History 8",1,2-Itemset
"Handbook of Python 7, The Art of Art 9",1,2-Itemset
"Handbook of Python 7, History of Machine Learning 9",1,2-Itemset
"Guide to Java 2, History of Economics 4",1,2-Itemset
"Mastering Art 8, Mastering Economics 7",1,2-Itemset
"History of Biology 5, The Art of Economics 3",1,2-Itemset
"Guide to Java 10, The Art of Economics 3",1,2-Itemset
"History of Art 6, History of Economics 4",1,2-Itemset
"Advanced Art 1, Guide to Machine Learning 6",1,2-Itemset
"Fundamentals of Calculus 1, Mastering Java 3",1,2-Itemset
"Advanced Calculus 1, Advanced Philosophy 1",1,2-Itemset
"Mastering Music 1, The Art of Art 3",1,2-Itemset
"Mastering Machine Learning 2, The Art of Philosophy 1",1,2-Itemset
"Guide to AI 3, Introduction to Machine Learning 10",1,2-Itemset
"Guide to Biology 10, History of Economics 5",1,2-Itemset
"Fundamentals of Economics 7, The Art of Philosophy 6",1,2-Itemset
"Advanced Music 2, Handbook of Biology 10",1,2-Itemset
"Fundamentals of Music 9, History of Machine Learning 8",1,2-Itemset
"Fundamentals of Economics 7, Fundamentals of Music 9",1,2-Itemset
"Introduction to Java 10, The Art of Calculus 1",1,2-Itemset
"Handbook of Java 1, The Art of Calculus 1",1,2-Itemset
"Fundamentals of AI 5, Fundamentals of Calculus 1",1,2-Itemset
"History of Music 7, The Art of Art 5",1,2-Itemset
"Fundamentals of Calculus 7, Introduction to Music 10",1,2-Itemset
"Fundamentals of Calculus 7, History of Music 4",1,2-Itemset
"Guide to Art 2, Guide to Philosophy 1",1,2-Itemset
"Guide to Art 2, Mastering Physics 9",1,2-Itemset
"History of Music 6, Mastering Music 10",1,2-Itemset
"Fundamentals of Chemistry 4, Introduction to Machine Learning 8",1,2-Itemset
"Handbook of Java 7, Mastering Calculus 9",1,2-Itemset
"Advanced Physics 8, Guide to Art 2",1,2-Itemset
"Fundamentals of Art 7, Mastering Music 10",1,2-Itemset
"Advanced Chemistry 1, The Art of Philosophy 8",1,2-Itemset
"Advanced Economics 1, Mastering Music 10",1,2-Itemset
"Advanced Java 8, Introduction to Machine Learning 3",1,2-Itemset
"Fundamentals of Chemistry 9, Handbook of Calculus 1",1,2-Itemset
"Fundamentals of Chemistry 4, Handbook of AI 6",1,2-Itemset
"Fundamentals of Chemistry 4, History of AI 5",1,2-Itemset
"Fundamentals of Chemistry 4, Introduction to Music 4",1,2-Itemset
"Advanced Java 5, Fundamentals of Chemistry 4",1,2-Itemset
"Fundamentals of Chemistry 7, Introduction to AI 4",1,2-Itemset
"Handbook of Calculus 4, Mastering Art 10",1,2-Itemset
"Fundamentals of Machine Learning 3, Guide to Python 4",1,2-Itemset
"Guide to Python 10, Mastering Physics 1",1,2-Itemset
"Handbook of Calculus 8, Mastering Physics 1",1,2-Itemset
"Guide to Art 3, Introduction to Python 6",1,2-Itemset
"Guide to Biology 3, History of Java 1",1,2-Itemset
"Introduction to Art 2, Mastering Chemistry 9",1,2-Itemset
"Guide to Calculus 3, History of Chemistry 5",1,2-Itemset
"History of Biology 9, History of Economics 1",1,2-Itemset
"Handbook of AI 9, Handbook of Machine Learning 9",1,2-Itemset
"Guide to Art 10, Handbook of Machine Learning 9",1,2-Itemset
"Fundamentals of Music 1, Handbook of Java 6",1,2-Itemset
"Fundamentals of Philosophy 8, The Art of Music 1",1,2-Itemset
"Guide to Java 8, History of Machine Learning 6",1,2-Itemset
"Guide to Art 3, Mastering Calculus 3",1,2-Itemset
"History of Economics 8, Introduction to Python 5",1,2-Itemset
"Fundamentals of Philosophy 9, History of Chemistry 5",1,2-Itemset
"Handbook of Python 2, History of Calculus 7",1,2-Itemset
"Advanced History 7, History of Calculus 7",1,2-Itemset
"Introduction to History 9, The Art of Philosophy 4",1,2-Itemset
"History of Calculus 3, History of Chemistry 7",1,2-Itemset
"Advanced Calculus 6, Advanced Chemistry 9",1,2-Itemset
"History of Economics 8, Introduction to AI 3",1,2-Itemset
"Fundamentals of Machine Learning 3, History of Calculus 3",1,2-Itemset
"Introduction to AI 8, Introduction to Python 5",1,2-Itemset
"Guide to Machine Learning 5, Introduction to AI 8",1,2-Itemset
"Advanced Biology 4, Advanced Python 1",1,2-Itemset
"Mastering Machine Learning 10, The Art of Java 6",1,2-Itemset
"Guide to AI 1, Mastering Machine Learning 10",1,2-Itemset
"History of Chemistry 4, The Art of Economics 4",1,2-Itemset
"Handbook of Python 4, Introduction to AI 10",1,2-Itemset
"Advanced Biology 10, Mastering Calculus 3",1,2-Itemset
"History of Biology 8, Introduction to AI 3",1,2-Itemset
"Advanced History 10, History of Python 9",1,2-Itemset
"Fundamentals of Physics 6, The Art of Economics 2",1,2-Itemset
"Advanced Machine Learning 8, Introduction to Calculus 2",1,2-Itemset
"Mastering Machine Learning 10, The Art of History 8",1,2-Itemset
"The Art of History 4, The Art of Physics 5",1,2-Itemset
"Advanced Python 2, Introduction to AI 10",1,2-Itemset
"Guide to Calculus 3, Handbook of Art 5",1,2-Itemset
"Guide to Python 10, The Art of Machine Learning 9",1,2-Itemset
"Fundamentals of Music 1, History of Economics 8",1,2-Itemset
"Advanced Art 2, Fundamentals of Philosophy 2",1,2-Itemset
"Fundamentals of Economics 4, Guide to AI 1",1,2-Itemset
"Introduction to AI 10, Mastering AI 9",1,2-Itemset
"Fundamentals of Economics 4, The Art of Biology 10",1,2-Itemset
"Advanced Physics 4, Fundamentals of Philosophy 2",1,2-Itemset
"Guide to Philosophy 3, Introduction to Machine Learning 1",1,2-Itemset
"Handbook of Art 7, Mastering Physics 1",1,2-Itemset
"Handbook of Music 6, The Art of Machine Learning 2",1,2-Itemset
"Fundamentals of Music 1, The Art of Java 6",1,2-Itemset
"Fundamentals of Machine Learning 3, The Art of Java 6",1,2-Itemset
"Advanced Art 4, The Art of Biology 10",1,2-Itemset
"Guide to Python 7, Mastering History 7",1,2-Itemset
"Guide to Chemistry 2, History of Chemistry 2",1,2-Itemset
"Handbook of Machine Learning 9, Introduction to History 7",1,2-Itemset
"Advanced Art 4, History of Economics 8",1,2-Itemset
"Guide to Python 10, History of Chemistry 2",1,2-Itemset
"Guide to Machine Learning 2, History of Chemistry 5",1,2-Itemset
"Fundamentals of Philosophy 6, Fundamentals of Physics 1",1,2-Itemset
"Handbook of Machine Learning 7, Handbook of Music 2",1,2-Itemset
"Guide to Java 8, Guide to Music 4",1,2-Itemset
"Introduction to AI 3, The Art of Economics 2",1,2-Itemset
"Advanced Physics 4, Introduction to Philosophy 6",1,2-Itemset
"History of Biology 3, Mastering Biology 4",1,2-Itemset
"History of Chemistry 10, Introduction to Machine Learning 2",1,2-Itemset
"Fundamentals of Python 1, The Art of Java 4",1,2-Itemset
"Advanced Chemistry 8, Handbook of Art 7",1,2-Itemset
"Advanced Chemistry 8, Advanced History 10",1,2-Itemset
"Handbook of AI 9, Handbook of Java 2",1,2-Itemset
"Fundamentals of Music 1, Handbook of Python 2",1,2-Itemset
"Advanced Biology 4, Fundamentals of Economics 4",1,2-Itemset
"Advanced Biology 10, History of Calculus 5",1,2-Itemset
"Advanced Python 7, Mastering AI 9",1,2-Itemset
"Advanced Calculus 9, Mastering AI 9",1,2-Itemset
"Advanced History 5, Guide to AI 8",1,2-Itemset
"Guide to AI 1, The Art of History 4",1,2-Itemset
"Advanced Python 2, The Art of History 4",1,2-Itemset
"Introduction to Philosophy 6, Mastering Python 4",1,2-Itemset
"Advanced Python 1, Fundamentals of Physics 2",1,2-Itemset
"Introduction to Biology 4, The Art of Philosophy 9",1,2-Itemset
"Advanced Biology 1, Guide to AI 10",1,2-Itemset
"Advanced Chemistry 4, Introduction to Machine Learning 2",1,2-Itemset
"Advanced Economics 9, Mastering Chemistry 7",1,2-Itemset
"Mastering Art 6, The Art of Java 2",1,2-Itemset
"Mastering Art 8, The Art of Art 10",1,2-Itemset
"History of AI 9, The Art of Art 10",1,2-Itemset
"Advanced Economics 9, The Art of Java 7",1,2-Itemset
"Handbook of Calculus 3, Mastering Calculus 1",1,2-Itemset
"Fundamentals of Java 7, Guide to Calculus 10",1,2-Itemset
"Guide to History 9, The Art of Philosophy 9",1,2-Itemset
"Introduction to Machine Learning 2, The Art of Art 10",1,2-Itemset
"Guide to Machine Learning 6, Mastering History 6",1,2-Itemset
"History of History 2, Introduction to Physics 10",1,2-Itemset
"Handbook of Java 9, Mastering Chemistry 1",1,2-Itemset
"Advanced Calculus 5, Guide to Economics 5",1,2-Itemset
"Advanced Chemistry 4, Guide to Philosophy 6",1,2-Itemset
"Fundamentals of Calculus 1, History of Machine Learning 1",1,2-Itemset
"Fundamentals of Python 4, Handbook of Economics 2",1,2-Itemset
"Advanced AI 6, Handbook of Economics 2",1,2-Itemset
"Advanced Java 2, Mastering Chemistry 2",1,2-Itemset
"Fundamentals of Java 9, History of Python 8",1,2-Itemset
"The Art of Economics 7, The Art of Python 5",1,2-Itemset
"Handbook of Calculus 3, The Art of Philosophy 9",1,2-Itemset
"History of Art 8, History of Biology 3",1,2-Itemset
